site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
1896,no,75,50,na,60
1896,no,62,46,na,78
1896,no,77,54,5,90
1896,no,103,72,na,70
1896,no,63,40,6,48
1896,no,63,49,5,74
1896,no,92,63,na,86
1896,no,74,54,na,59
1896,no,52,51,5,85
1896,no,85,45,6,41
1896,no,68,41,na,39
1896,no,74,49,7,72
1896,no,84,51,na,60
1896,no,72,54,3,77
1896,no,88,65,na,81
1896,no,102,73,7,101
1896,no,70,49,na,79
1896,no,57,46,5,71
1896,no,41,32,na,56
1896,no,70,51,na,70
1896,no,38,27,na,22
1896,no,64,42,2,37
1896,no,89,60,6,95
1896,no,75,53,na,65
1896,no,67,42,na,46
1896,no,72,50,na,56
1896,no,54,39,5,50
1896,no,61,42,na,43
1896,no,68,46,na,49
1896,no,54,43,na,70
